Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
WJEC,11/05/2018,Morning,4554/01 ,Welsh 2nd Language,GCSE,Welsh 2nd Language Unit 4 Foundation Tier,,,1h,,
WJEC,11/05/2018,Morning,4554/02,Welsh 2nd Language,GCSE,Welsh 2nd Language Unit 4 Higher Tier ,,,1h,,
WJEC,14/05/2018,Morning,4341/01 ,Computer Science,GCSE,"Computer Science Unit 1*
(LEGACY)",,,1h 30m,,
EDUQAS,14/05/2018,Morning,C500U10-1,Computer Science,GCSE,Computer Science Component 1 (NEW EDUQAS) ,,,1h 45m,,
WJEC,14/05/2018,Morning,4331/01,ICT,GCSE,ICT Unit 1,,,1h 30m,,
EDUQAS,14/05/2018,Morning,C990U10-1,Latin,GCSE,Latin Component 1 (NEW EDUQAS),,,1h 30m,,
WJEC,14/05/2018,Morning,3010N10-1,Welsh Literature,GCSE,Welsh Literature Unit 1 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,14/05/2018,Morning,3010NA0-1,Welsh Literature,GCSE,Welsh Literature Unit 1 Higher Tier (NEW WALES),,,1h 15m,,
WJEC,14/05/2018,Afternoon,4441/01,Religious Studies,GCSE,Religious Studies (Spec A) Unit 1 Christianity* (LEGACY) ,,,1h 45m,,
WJEC,14/05/2018,Afternoon,4443/01,Religious Studies,GCSE,Religious Studies (Spec A) Unit 3 Rom. Cath. 1* (LEGACY) ,,,1h 45m,,
WJEC,14/05/2018,Afternoon,"3120UA0-1-
3120UF0-1",Religious Studies,GCSE,Religious Studies Unit 1 (Option A – Option F) (NEW WALES),,,2h,,
EDUQAS,14/05/2018,Afternoon,C120U10-1,Religious Studies,GCSE,"Religious Studies (Full Course) Route A
Component 1 (NEW EDUQAS)",,,2h,,
EDUQAS,14/05/2018,Afternoon,C120U80-1,Religious Studies,GCSE,"Religious Studies (Full Course) Route B
Component 1 (NEW EDUQAS) ",,,1h 30m,,
EDUQAS,14/05/2018,Afternoon,C125U10-1,Religious Studies,GCSE,"Religious Studies (Short Course)
Component 1 (NEW EDUQAS)",,,1h,,
WJEC,15/05/2018,Morning,3800U20-1,French,GCSE,French Unit 2 Listening Foundation Tier (NEW WALES),,,35m,,
WJEC,15/05/2018,Morning,3800UB0-1,French,GCSE,French Unit 2 Listening Higher Tier (NEW WALES),,,45m,,
WJEC,15/05/2018,Morning,3800U30-1,French,GCSE,French Unit 3 Reading Foundation Tier (NEW WALES),,,1h,,
WJEC,15/05/2018,Morning,3800UC0-1,French,GCSE,"French Unit 3 Reading Higher Tier
(NEW WALES)",,,1h 15m,,
EDUQAS,15/05/2018,Morning,C800U20-1,French,GCSE,French Component 2 Listening Foundation Tier (NEW EDUQAS),,,35m,,
EDUQAS,15/05/2018,Morning,C800UB0-1,French,GCSE,French Component 2 Listening Higher Tier (NEW EDUQAS),,,45m,,
EDUQAS,15/05/2018,Morning,C800U30-1,French,GCSE,French Component 3 Reading Foundation Tier (NEW EDUQAS),,,1h,,
EDUQAS,15/05/2018,Morning,C800UC0-1,French,GCSE,French Component 3 Reading Higher Tier (NEW EDUQAS),,,1h 15m,,
WJEC,15/05/2018,Afternoon,3400U20-1,Biology,GCSE,Biology Unit 2 Foundation Tier (NEW WALES),,,1h 45m,,
WJEC,15/05/2018,Afternoon,3400UB0-1,Biology,GCSE,Biology Unit 2 Higher Tier (NEW WALES),,,1h 45m,,
WJEC,15/05/2018,Afternoon,3430U40-1,Science,GCSE,Science: Biology 2 (Double Award) Unit 4 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,15/05/2018,Afternoon,3430UD0-1,Science,GCSE,Science: Biology 2 (Double Award) Unit 4 Higher Tier (NEW WALES),,,1h 15m,,
WJEC,15/05/2018,Afternoon,3445U30-1,Applied Science,GCSE,Applied Science (Double Award) Unit 3 Foundation Tier (NEW WALES),,,1h 30m,,
WJEC,15/05/2018,Afternoon,3445UC0-1,Applied Science,GCSE,Applied Science (Double Award) Unit 3 Higher Tier (NEW WALES),,,1h 30m,,
WJEC,15/05/2018,Afternoon,3440U20-1,Applied Science,GCSE,"Applied Science (Single Award) Unit 2
Foundation Tier (NEW WALES)",,,1h 30m,,
WJEC,15/05/2018,Afternoon,3440UB0-1,Applied Science,GCSE,Applied Science (Single Award) Unit 2 Higher Tier (NEW WALES),,,1h 30m,,
EDUQAS,15/05/2018,Afternoon,C400U10-1,Biology,GCSE,Biology Component 1 Foundation Tier (NEW EDUQAS),,,2h 15m,,
EDUQAS,15/05/2018,Afternoon,C400UA0-1,Biology,GCSE,Biology Component 1 Higher Tier (NEW EDUQAS),,,2h 15m,,
EDUQAS,15/05/2018,Afternoon,C430U10-1,Combined Science,GCSE,Combined Science Biology Component 1 Foundation Tier (NEW EDUQAS),,,1h 45m,,
EDUQAS,15/05/2018,Afternoon,C430UA0-1,Combined Science,GCSE,Combined Science Biology Component 1 Higher Tier (NEW EDUQAS),,,1h 45m,,
WJEC,16/05/2018,Morning,3550U10-1,Physical Education,GCSE,Physical Education (Full Course) Unit 1 (NEW WALES),,,2h,,
WJEC,16/05/2018,Morning,3555U10-1,Physical Education,GCSE,Physical Education (Short Course) Unit 1 (NEW WALES),,,1h,,
EDUQAS,16/05/2018,Morning,C550U10-1,Physical Education,GCSE,Physical Education (Full Course) Component 1 (NEW EDUQAS),,,2h,,
EDUQAS,16/05/2018,Morning,C555U10-1,Physical Education,GCSE,"Physical Education (Short Course) Component 1
(NEW EDUQAS)",,,1h,,
WJEC,16/05/2018,Afternoon,4451/01 ,Religious Studies,GCSE,"Religious Studies (Spec B) Unit 1 Rel. & Life Issues*
(LEGACY)",,,1h 45m,,
WJEC,16/05/2018,Afternoon,4446/01 ,Religious Studies,GCSE,"Religious Studies (Spec A) Unit 6 Hinduism*
(LEGACY)",,,1h 45m,,
WJEC,16/05/2018,Afternoon,4447/01 ,Religious Studies,GCSE,"Religious Studies (Spec A) Unit 7 Islam*
(LEGACY) ",,,1h 45m,,
EDUQAS,16/05/2018,Afternoon,C120U20-1,Religious Studies,GCSE,"Religious Studies (Full Course) Route A
Component 2 (NEW EDUQAS)",,,1h,,
EDUQAS,16/05/2018,Afternoon,C120U90-1,Religious Studies,GCSE,"Religious Studies (Full Course) Route B
Component 2 (NEW EDUQAS) ",,,1h 30m,,
EDUQAS,16/05/2018,Afternoon,C125U20-1,Religious Studies,GCSE,"Religious Studies (Short Course) Component 2
(NEW EDUQAS) ",,,35m,,
WJEC,17/05/2018,Morning,3410U20-1,Chemistry,GCSE,Chemistry Unit 2 Foundation Tier (NEW WALES),,,1h 45m,,
WJEC,17/05/2018,Morning,3410UB0-1,Chemistry,GCSE,Chemistry Unit 2 Higher Tier (NEW WALES),,,1h 45m,,
WJEC,17/05/2018,Morning,3430U50-1 ,Science,GCSE,Science: Chemistry 2 (Double Award) Unit 5 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,17/05/2018,Morning,3430UE0-1,Science,GCSE,Science: Chemistry 2 (Double Award) Unit 5 Higher Tier (NEW WALES),,,1h 15m,,
EDUQAS,17/05/2018,Morning,C410U10-1,Chemistry,GCSE,"Chemistry Component 1 Foundation Tier
(NEW EDUQAS)",,,2h 5m,,
EDUQAS,17/05/2018,Morning,C410UA0-1,Chemistry,GCSE,"Chemistry Component 1 Higher Tier
(NEW EDUQAS) ",,,2h 15m,,
EDUQAS,17/05/2018,Morning,C430U20-1,Combined Science,GCSE,"Combined Science Chemistry Component 2
Foundation Tier (NEW EDUQAS)",,,1h 45m,,
EDUQAS,17/05/2018,Morning,C430UB0-1,Combined Science,GCSE,"Combined Science Chemistry Component 2
Higher Tier (NEW EDUQAS)",,,1h 45m,,
WJEC,17/05/2018,Afternoon,4342/01 ,Computer Science,GCSE,Computer Science Unit 2 (LEGACY) * ,,,2h,,
EDUQAS,17/05/2018,Afternoon,C500U20-1,Computer Science,GCSE,Computer Science Component 2 (on screen) (NEW EDUQAS),,,2h,,
WJEC,17/05/2018,Afternoon,4333/01 ,ICT,GCSE,ICT Unit 3,,,1h 30m,,
EDUQAS,17/05/2018,Afternoon,C990U20-1,Latin,GCSE,Latin Component 2 (NEW EDUQAS),,,1h 30m,,
WJEC,18/05/2018,Morning,3800U40-1,French,GCSE,"French Unit 4 Writing Foundation Tier
(NEW WALES)",,,1h15m,,
WJEC,18/05/2018,Morning,3800UD0-1,French,GCSE,"French Unit 4 Writing Higher Tier
(NEW WALES) ",,,1h 30m,,
EDUQAS,18/05/2018,Morning,C800U40-1,French,GCSE,French Component 4 Writing Foundation Tier (NEW EDUQAS),,,1h 15m,,
EDUQAS,18/05/2018,Morning,C800UD0-1,French,GCSE,French Component 4 Writing Higher Tier (NEW EDUQAS),,,1h 30m,,
WJEC,18/05/2018,Afternoon,3690U30-1,Drama,GCSE,Drama Unit 3 (NEW WALES),,,1h 30m,,
EDUQAS,18/05/2018,Afternoon,C690U30-1,Drama,GCSE,Drama Component 3 (NEW EDUQAS),,,1h 30m,,
WJEC,21/05/2018,Morning,4250/01 ,Geology,GCSE,Geology (on screen),,,1h 30m,,
EDUQAS,21/05/2018,Morning,C990UA0-1,Latin,GCSE,Latin Component 3 Option A (NEW EDUQAS),,,1h,,
EDUQAS,21/05/2018,Morning,C990UB0-1,Latin,GCSE,Latin Component 3 Option B (NEW EDUQAS),,,1h,,
WJEC,21/05/2018,Morning,4511/01 ,Sociology,GCSE,Sociology Unit 1,,,1h 30m,,
WJEC,21/05/2018,Morning,3010N20-1 ,Welsh Literature,GCSE,Welsh Literature Unit 2 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,21/05/2018,Morning,3010NB0-1,Welsh Literature,GCSE,Welsh Literature Unit 2 Higher Tier (NEW WALES),,,1h 15m,,
WJEC,21/05/2018,Afternoon,4762/01,Leisure & Tourism,GCSE,Leisure & Tourism Unit 2 ,,,1h 30m,,
WJEC,22/05/2018,Morning,3720U10-1 ,English Literature,GCSE,"English Literature Unit 1 Foundation Tier
(NEW WALES) ",,,2h,,
WJEC,22/05/2018,Morning,3720UA0-1 ,English Literature,GCSE,English Literature Unit 1 Higher Tier (NEW WALES),,,2h,,
EDUQAS,22/05/2018,Morning,C720U10-1,English Literature,GCSE,English Literature Component 1 (NEW EDUQAS),,,2h,,
WJEC,22/05/2018,Afternoon,3110U10-1,Geography,GCSE,Geography Unit 1 (NEW WALES) ,,,1h 30m,,
EDUQAS,22/05/2018,Afternoon,C111U10-1,Geography,GCSE,Geography A Component 1 (NEW EDUQAS),,,1h 30m,,
EDUQAS,22/05/2018,Afternoon,C112U10-1,Geography,GCSE,Geography B Component 1 (NEW EDUQAS),,,1h 45m,,
WJEC,23/05/2018,Morning,4702/01,Applied Business,GCSE,Applied Business Unit 2 ,,,1h 15m,,
WJEC,23/05/2018,Morning,4101/01 ,Design &Technology Graphics,GCSE,Design &Technology Graphics Unit 1,,,2h,,
WJEC,23/05/2018,Morning,4141/01 ,Design &Technology Product Design,GCSE,Design &Technology Product Design Unit 1,,,2h,,
WJEC,23/05/2018,Morning,4111/01 ,Design &Technology Resistant Materials,GCSE,Design &Technology Resistant Materials Unit 1,,,2h,,
WJEC,23/05/2018,Morning,4121/01,Design &Technology Systems & Control,GCSE,Design &Technology Systems & Control Unit 1,,,2h,,
WJEC,23/05/2018,Morning,4131/01 ,Design &Technology Textiles,GCSE,Design &Technology Textiles Unit 1,,,2h,,
WJEC,23/05/2018,Morning,4431/01 ,Psychology,GCSE,Psychology Unit 1,,,1h 30m,,
WJEC,23/05/2018,Afternoon,3420U20-1,Physics,GCSE,Physics Unit 2 Foundation Tier (NEW WALES),,,1h 45m,,
WJEC,23/05/2018,Afternoon,3420UB0-1,Physics,GCSE,Physics Unit 2 Higher Tier (NEW WALES),,,1h 45m,,
WJEC,23/05/2018,Afternoon,3430U60-1,Science,GCSE,Science: Physics 2 (Double Award) Unit 6 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,23/05/2018,Afternoon,3430UF0-1,Science,GCSE,Science: Physics 2 (Double Award) Unit 6 Higher Tier (NEW WALES),,,1h 15m,,
WJEC,23/05/2018,Afternoon,C420U10-1,Physics,GCSE,Physics Component 1 Foundation Tier (NEW EDUQAS),,,2h 15m,,
EDUQAS,23/05/2018,Afternoon,C420UA0-1,Physics,GCSE,Physics Component 1 Higher Tier (NEW EDUQAS),,,2h 15m,,
EDUQAS,23/05/2018,Afternoon,C430U30-1,Combined Science,GCSE,"Combined Science Physics Component 3
Foundation Tier (NEW EDUQAS)",,,1h 45m,,
EDUQAS,23/05/2018,Afternoon,C430UC0-1,Combined Science,GCSE,"Combined Science Physics Component 3
Higher Tier (NEW EDUQAS) ",,,1h 45m,,
WJEC,24/05/2018,Morning,3300U10-1,Mathematics,GCSE,Mathematics Unit 1 Foundation Tier (NEW WALES),,,1h 30m,,
WJEC,24/05/2018,Morning,3300U30-1 ,Mathematics,GCSE,"Mathematics Unit 1 Intermediate Tier
(NEW WALES)",,,1h 45m,,
WJEC,24/05/2018,Morning,3300U50-1 ,Mathematics,GCSE,"Mathematics Unit 1 Higher Tier
(NEW WALES)",,,1h 45m,,
EDUQAS,24/05/2018,Morning,C300U10-1,Mathematics,GCSE,"Mathematics Component 1 Foundation Tier
(NEW EDUQAS)",,,2h 15m,,
EDUQAS,24/05/2018,Morning,C300UA0-1,Mathematics,GCSE,"Mathematics Component 1 Higher Tier
(NEW EDUQAS)",,,2h 15m,,
WJEC,24/05/2018,Afternoon,4452/01 ,Religious Studies,GCSE,"Religious Studies (Spec B) Unit 2 Rel. & Hum. Exp. *
(LEGACY) ",,,1h 45m,,
WJEC,24/05/2018,Afternoon,4444/01 ,Religious Studies,GCSE,"Religious Studies (Spec A) Unit 4 Catholicism 2*
(LEGACY)",,,1h 45m,,
WJEC,24/05/2018,Afternoon,4445/01 ,Religious Studies,GCSE,"Religious Studies (Spec A) Unit 5 Christ. Phil.&Eth. *
(LEGACY) ",,,1h 45m,,
EDUQAS,24/05/2018,Afternoon,C120U30-1-C120U70-1,Religious Studies,GCSE,"Religious Studies (Full Course) Route A
Component 3 Options 1-5 (NEW EDUQAS)",,,1h,,
EDUQAS,24/05/2018,Afternoon,C120U60-1,Religious Studies,GCSE,"Religious Studies (Full Course) Route B
Component 3 Option 4 (NEW EDUQAS)",,,1h,,
EDUQAS,24/05/2018,Afternoon,"C125U30-1-
C125U70-1",Religious Studies,GCSE,"Religious Studies (Short Course)
Component 3 Options 1-5 (NEW EDUQAS)",,,35m,,
WJEC,25/05/2018,Morning,3720U20-1,English Literature,GCSE,English Literature Unit 2 Option A Foundation Tier (NEW WALES),,,2h,,
WJEC,25/05/2018,Morning,3720U30-1,English Literature,GCSE,English Literature Unit 2 Option B Foundation Tier (NEW WALES),,,2h,,
WJEC,25/05/2018,Morning,3720UB0-1,English Literature,GCSE,English Literature Unit 2 Option A Higher Tier (NEW WALES),,,2h,,
WJEC,25/05/2018,Morning,3720UC0-1,English Literature,GCSE,English Literature Unit 2 Option B Higher Tier (NEW WALES),,,2h,,
EDUQAS,25/05/2018,Morning,C720U20-1,English Literature,GCSE,English Literature Component 2 (NEW EDUQAS),,,2h 30m,,
WJEC,25/05/2018,Afternoon,4764/01 ,Leisure & Tourism,GCSE,Leisure & Tourism Unit 4,,,1h 30m,,
WJEC,25/05/2018,Afternoon,4512/01,Sociology,GCSE,Sociology Unit 2,,,1h 30m,,
WJEC,04/06/2018,Morning,4271/01-06,History,GCSE,History Unit 1* (LEGACY),,,1h 15m,,
EDUQAS,04/06/2018,Morning,"C100UA0-1-
C100UH0-1",History,GCSE,History Component 1 (Studies A to H) (NEW EDUQAS),,,2h,,
WJEC,04/06/2018,Afternoon,4391/01 ,Media Studies,GCSE,Media Studies Unit 1,,,2h 15m,,
WJEC,04/06/2018,Afternoon,4432/01 ,Psychology,GCSE,Psychology Unit 2,,,1h 30m,,
WJEC,05/06/2018,Morning,3700U20-1,English Language,GCSE,English Language Unit 2 (NEW WALES),,,2h,,
EDUQAS,05/06/2018,Morning,C700U10-1 ,English Language,GCSE,English Language Component 1 (NEW EDUQAS),,,1h 45m,,
WJEC,05/06/2018,Afternoon,3110U20-1,Geography,GCSE,Geography Unit 2 (NEW WALES),,,1h 30m,,
EDUQAS,05/06/2018,Afternoon,C111U20-1,Geography,GCSE,Geography A Component 2 (NEW EDUQAS) ,,,1h 30m,,
EDUQAS,05/06/2018,Afternoon,C112U20-1,Geography,GCSE,Geography B Component 2 (NEW EDUQAS),,,1h 30m,,
WJEC,06/06/2018,Morning,3810U20-1,Spanish,GCSE,Spanish Unit 2 Listening Foundation Tier (NEW WALES),,,35m,,
WJEC,06/06/2018,Morning,3810UB0-1,Spanish,GCSE,"Spanish Unit 2 Listening Higher Tier
(NEW WALES",,,45m,,
WJEC,06/06/2018,Morning,3810U30-1,Spanish,GCSE,Spanish Unit 3 Reading Foundation Tier (NEW WALES),,,1h,,
WJEC,06/06/2018,Morning,3810UC0-1,Spanish,GCSE,Spanish Unit 3 Reading Higher Tier (NEW WALES),,,1h 15m,,
EDUQAS,06/06/2018,Morning,C810U20-1,Spanish,GCSE,Spanish Component 2 Listening Foundation Tier (NEW EDUQAS),,,35m,,
EDUQAS,06/06/2018,Morning,C810UB0-1,Spanish,GCSE,Spanish Component 2 Listening Higher Tier (NEW EDUQAS),,,45m,,
EDUQAS,06/06/2018,Morning,C810U30-1,Spanish,GCSE,Spanish Component 3 Reading Foundation Tier (NEW EDUQAS),,,1h,,
EDUQAS,06/06/2018,Morning,C810UC0-1,Spanish,GCSE,Spanish Component 3 Reading Higher Tier (NEW EDUQAS),,,1h 15m,,
WJEC,06/06/2018,Afternoon,4080/01,Business Studies,GCSE,Business Studies,,,2h,,
WJEC,06/06/2018,Afternoon,3660U30-1,Music,GCSE,Music Unit 3 (NEW WALES),,,1h,,
EDUQAS,06/06/2018,Afternoon,C660U30-1,Music,GCSE,Music Component 3 (NEW EDUQAS),,,1h 15m,,
WJEC,07/06/2018,Morning,3300U20-1,Mathematics,GCSE,"Mathematics Unit 2 Foundation Tier
(NEW WALES)",,,1h 30m,,
WJEC,07/06/2018,Morning,3300U40-1,Mathematics,GCSE,Mathematics Unit 2 Intermediate Tier (NEW WALES),,,1h 45m,,
WJEC,07/06/2018,Morning,3300U60-1,Mathematics,GCSE,Mathematics Unit 2 Higher Tier (NEW WALES),,,1h 45m,,
EDUQAS,07/06/2018,Morning,C300U20-1,Mathematics,GCSE,Mathematics Component 2 Foundation Tier (NEW EDUQAS),,,2h 15m,,
EDUQAS,07/06/2018,Morning,C300UB0-1,Mathematics,GCSE,Mathematics Component 2 Higher Tier (NEW EDUQAS),,,2h 15m,,
WJEC,07/06/2018,Afternoon,4704/01 ,Applied Business,GCSE,Applied Business Unit 4,,,1h 15m,,
WJEC,07/06/2018,Afternoon,4442/01 ,Religious Studies,GCSE,Religious Studies (Spec A) Unit 2 Christianity through the Gospels* (LEGACY),,,1h 45m,,
WJEC,08/06/2018,Morning,3700U30-1 ,English Language,GCSE,English Language Unit 3 (NEW WALES) ,,,2h,,
EDUQAS,08/06/2018,Morning,C700U20-1,English Language,GCSE,English Language Component 2 (NEW EDUQAS),,,2h,,
WJEC,08/06/2018,Afternoon,"4272/01-05
4282/01-02",History,GCSE,History Unit 2* (LEGACY),,,1h 15m,,
EDUQAS,08/06/2018,Afternoon,"C100U10-1-
C100U80-1",History,GCSE,History Component 2 (Studies A to H) (NEW EDUQAS),,,2h,,
WJEC,11/06/2018,Morning,3400U10-1,Biology,GCSE,Biology Unit 1 Foundation Tier (NEW WALES),,,1h 45m,,
WJEC,11/06/2018,Morning,3400UA0-1,Biology,GCSE,Biology Unit 1 Higher Tier (NEW WALES),,,1h 45m,,
WJEC,11/06/2018,Morning,3430U10-1,Science,GCSE,Science: Biology 1 (Double Award) Unit 1 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,11/06/2018,Morning,3430UA0-1 ,Science,GCSE,Science: Biology 1 (Double Award) Unit 1 Higher Tier (NEW WALES),,,1h 15m,,
WJEC,11/06/2018,Morning,3445U20-1,Applied Science,GCSE,Applied Science (Double Award) Unit 2 Foundation Tier (NEW WALES),,,1h 30m,,
WJEC,11/06/2018,Morning,3445UB0-1,Applied Science,GCSE,Applied Science (Double Award) Unit 2 Higher Tier (NEW WALES),,,1h 30m,,
WJEC,11/06/2018,Morning,3440U10-1,Applied Science,GCSE,Applied Science (Single Award) Unit 1 Foundation Tier (NEW WALES),,,1h 30m,,
WJEC,11/06/2018,Morning,3440UA0-1,Applied Science,GCSE,Applied Science (Single Award) Unit 1 Higher Tier (NEW WALES),,,1h 30m,,
EDUQAS,11/06/2018,Morning,C400U20-1,Applied Science,GCSE,Biology Component 2 Foundation Tier (NEW EDUQAS),,,1h 15m,,
EDUQAS,11/06/2018,Morning,C400UB0-1,Biology,GCSE,Biology Component 2 Higher Tier (NEW EDUQAS),,,1h 15m,,
EDUQAS,11/06/2018,Morning,C430U40-1,Combined Science,GCSE,Combined Science Component 4 Foundation Tier (NEW EDUQAS),,,1h 45m,,
EDUQAS,11/06/2018,Morning,C430U40-1,Combined Science,GCSE,Combined Science Component 4 Higher Tier (NEW EDUQAS),,,1h 45m,,
EDUQAS,11/06/2018,Afternoon,C111U30-1,Geography,GCSE,Geography A Component 3 (NEW EDUQAS),,,1h 30m,,
EDUQAS,11/06/2018,Afternoon,C112U30-1,Geography,GCSE,Geography B Component 3 (NEW EDUQAS),,,1h 30m,,
WJEC,12/06/2018,Afternoon,"4373/01-04
4383/01-02 ",History,GCSE,History Unit 3* (LEGACY),,,1h 15m,,
WJEC,12/06/2018,Afternoon,"3100UE0-1-
3100UH0-1",History,GCSE,"History Unit 2 (Studies A to D)
(NEW WALES)",,,1h,,
WJEC,13/06/2018,Morning,3410U10-1,Chemistry,GCSE,Chemistry Unit 1 Foundation Tier (NEW WALES),,,1h 45m,,
WJEC,13/06/2018,Morning,3410UA0-1,Chemistry,GCSE,Chemistry Unit 1 Higher Tier (NEW WALES) ,,,1h 45m,,
WJEC,13/06/2018,Morning,3430U20-1 ,Science,GCSE,Science: Chemistry 1 (Double Award) Unit 2 Foundation Tier (NEW WALES),,,1h 15m,,
WJEC,13/06/2018,Morning,3430UB0-1 ,Science,GCSE,Science: Chemistry 1 (Double Award) Unit 2 Higher Tier (NEW WALES),,,1h 15m,,
WJEC,13/06/2018,Morning,3445U10-1,Applied Science,GCSE,Applied Science (Double Award) Unit 1 Foundation Tier (NEW WALES),,,1h 30m,,
WJEC,13/06/2018,Morning,3445UA0-1,Applied Science,GCSE,Applied Science (Double Award) Unit 1 Higher Tier (NEW WALES),,,1h 30m,,
EDUQAS,13/06/2018,Morning,C410U20-1,Chemistry,GCSE,Chemistry Component 2 Foundation Tier (NEW EDUQAS),,,1h 15m,,
EDUQAS,13/06/2018,Morning,C410UB0-1,Chemistry,GCSE,Chemistry Component 2 Higher Tier (NEW EDUQAS),,,1h 15m,,
WJEC,13/06/2018,Afternoon,4161/01,Electronics,GCSE,Electronics Test E1 (on screen),,,1h,,
WJEC,13/06/2018,Afternoon,4722/01,Health & Social Care,GCSE,Health & Social Care Unit 2,,,1h 15m,,
WJEC,14/06/2018,Morning,0155/01,Film Studies,GCSE,Film Studies Paper 1 ,,,1h 30m,,
WJEC,14/06/2018,Morning,4291/01 ,Home Economics,GCSE,Home Economics Child Development Unit 1 ,,,1h 30m,,
WJEC,14/06/2018,Morning,3810U40-1,Spanish,GCSE,"Spanish Unit 4 Writing Foundation Tier
(NEW WALES)",,,1h 15m,,
WJEC,14/06/2018,Morning,3810UD0-1,Spanish,GCSE,Spanish Unit 4 Writing Higher Tier (NEW WALES),,,1h 30m,,
EDUQAS,14/06/2018,Morning,C810U40-1,Spanish,GCSE,Spanish Component 4 Writing Foundation Tier (NEW EDUQAS),,,1h 15m,,
EDUQAS,14/06/2018,Morning,C810UD0-1,Spanish,GCSE,Spanish Component 4 Writing Higher Tier (NEW EDUQAS),,,1h 30m,,
WJEC,14/06/2018,Afternoon,3560UA0-1,Food and Nutrition,GCSE,Food and Nutrition Unit 1 (Written) (NEW WALES),,,1h 30m,,
WJEC,14/06/2018,Afternoon,3560UB0-1,Food and Nutrition,GCSE,Food and Nutrition Unit 1 (On-screen) (NEW WALES),,,1h 30m,,
EDUQAS,14/06/2018,Afternoon,C560UA0-1,Food Preparation and Nutrition,GCSE,"Food Preparation and Nutrition Component 1
(Written) ",,,1h 45m,,
EDUQAS,14/06/2018,Afternoon,C560UB0-1,Food Preparation and Nutrition,GCSE,"Food Preparation and Nutrition Component 1
(On-screen) ",,,1h 45m,,
WJEC,14/06/2018,Afternoon,4732/01 ,Hospitality & Catering,GCSE,"Hospitality & Catering+G188 Unit 2
(LEGACY) RESIT ONLY**",**Please note that re-sit examinations will be withdrawn from the timetable if there is insufficient demand ,,1h 15m,,
WJEC,15/06/2018,Morning,3420U10-1 ,Physics,GCSE,Physics Unit 1 Foundation Tier (NEW WALES),,,1h 45m,,
WJEC,15/06/2018,Morning,3420UA0-1,Physics,GCSE,Physics Unit 1 Higher Tier (NEW WALES),,,1h 45m,,
WJEC,15/06/2018,Morning,3430U30-1,Science,GCSE,"Science: Physics 1 (Double Award) Unit 3
Foundation Tier (NEW WALES) ",,,1h 15m,,
WJEC,15/06/2018,Morning,3430UC0-1,Science,GCSE,Science: Physics 1 (Double Award) Unit 3 Higher Tier (NEW WALES),,,1h 15m,,
EDUQAS,15/06/2018,Morning,C420U20-1,Physics,GCSE,Physics Component 2 Foundation Tier (NEW EDUQAS),,,1h 15m,,
EDUQAS,15/06/2018,Morning,C420UB0-1,Physics,GCSE,Physics Component 2 Higher Tier (NEW EDUQAS),,,1h 15m,,
WJEC,15/06/2018,Afternoon,4162/01,Electronics,GCSE,Electronics Test E2 (on screen),,,1h,,
