Exam board,Date,Morning/Afternoon,SDT11,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,18/06/2018,Morning,AFR22,French,GCE,French A2 2 Section B (2hr) (New) ,,10:15 - 12:15,2hr,,
CEA,18/06/2018,Morning,AMU31,Music,GCE,Music A2 Aural Perception (1hr 15m) (New) ,,9:15 - 10:30,1hr 15m,,
CEA,18/06/2018,Morning,AU221,Music,GCE,Music A2 2 Aural Perception (1hr),, 9:15 - 10:15,1hr,,
CEA,19/06/2018,Morning,AMF21,Further Mathematics,GCE,Further Mathematics F2 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,20/06/2018,Morning,AC234,Chemistry,GCE,Chemistry A2 Unit 3 Theory (1hr 15m),, 9:15 - 10:30,1hr 15m,,
CEA,20/06/2018,Morning,ACH32,Chemistry,GCE,Chemistry A2 Unit 3 Theory (1hr 15m) (New) ,, 9:15 - 10:30,1hr 15m,,
CEA,20/06/2018,Morning,AFR31,French,GCE,French A2 Unit 3 (1hr) (New),, 9:15 - 10:15,1hr,,
CEA,20/06/2018,Morning,AR271,Religious Studies,GCE,Religious Studies A2 7 (2hrs) ,, 9:15 - 11:15,2hrs,,
CEA,20/06/2018,Morning,AR281,Religious Studies,GCE,Religious Studies A2 8 (2hrs) ,, 9:15 - 11:15,2hrs,,
CEA,20/06/2018,Morning,ARE81,Religious Studies,GCE,Religious Studies A2 8 (2hrs) (New) ,, 9:15 - 11:15,2hrs,,
CEA,21/06/2018,Morning,AMF31,Further Mathematics,GCE,Further Mathematics F3 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,22/06/2018,Morning,AMM31,Mathematics,GCE,Mathematics M3 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,18/06/2018,Afternoon,A6H61,Applied Health and Social Care,GCE,Applied Health & Social Care A2 Unit 12 (2hrs),,1:30 - 3:30,2hrs,,
CEA,18/06/2018,Afternoon,AHC61,Health and Social Care,GCE,Health & Social Care A2 Unit 6 (2hrs) (New) ,, 1:30 - 3:30,2hrs,,
CEA,18/06/2018,Afternoon,AHC71,Health and Social Care,GCE,Health & Social Care A2 Unit 7 (2hrs) (New) ,, 1:30 - 3:30,2hrs,,
CEA,18/06/2018,Afternoon,AMU32,Music,GCE,Music A2 Written Paper (2hrs) (New) ,, 1:30 - 3:30,2hrs,,
CEA,18/06/2018,Afternoon,AU222,Music,GCE,Music A2 2 Written Paper (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,18/06/2018,Afternoon,AR261,Religious Studie,GCE,Religious Studies A2 6 (2hrs) ,,1:30 - 3:30,2hrs,,
CEA,18/06/2018,Afternoon,ARE71,Religious Studies,GCE,Religious Studies A2 7 (2hrs) (New),, 1:30 - 3:30,2hrs,,
CEA,18/06/2018,Afternoon,A6H71,Applied Health and Social Care,GCE,Applied Health & Social Care A2 Unit 15 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,25/06/2018,Morning,AMM41,Mathematics,GCE,Mathematics M4 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
