Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,16/5/2018,Afternoon,GRE41,Religious Studies,GCSE,Religious Studies 4 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,16/5/2018,Afternoon,GRS51,Religious Studies,GCSE,Religious Studies 5 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,16/5/2018,Afternoon,GRE51,Religious Studies,GCSE,Religious Studies 5 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,17/5/2018,Afternoon,GIR41,Irish,GCSE,Irish 4 Reading (F) (40m),,1:30 - 2:10,40m,zqtw7ty,zqtw7ty
CEA,17/5/2018,Afternoon,GIR41,Irish,GCSE,Irish Reading Unit 3 (F) (50m) (New),,1:30 - 2:20,50m,zqtw7ty,zqtw7ty
CEA,17/5/2018,Afternoon,GIR42,Irish,GCSE,Irish 4 Reading (H) (50m),,1:30 - 2:20,50m,zqtw7ty,zqtw7ty
CEA,17/5/2018,Afternoon,GIH32,Irish,GCSE,Irish Reading Unit 3 (H) (1hr) (New),,1:30 - 2:30,1hr,zqtw7ty,zqtw7ty
CEA,17/5/2018,Afternoon,GIT31,ICT,GCSE,ICT Unit 3 (2hrs),,1:30 - 2:30,2hrs,zqmtsbk,
CEA,17/5/2018,Afternoon,GDG11,Digital Technology,GCSE,Digital Technology Unit 1 (1hr) (New),,1:30 - 2:30,1hr,z39tjty,z9qy6yc
CEA,17/5/2018,Afternoon,GIT41,ICT,GCSE,ICT Unit 2 (Short Course) (1hr ),,1:30 - 2:30,1hr ,zqmtsbk,
CEA,18/5/2018,Afternoon,G9741,Physical Education,GCSE,Physical Education 1 (1hr 30m),,1:30 - 3:00,1hr 30m,znyb4wx,
CEA,21/5/2018,Morning,GHE11,Home Economics,GCSE,Home Economics Unit 1 (1hr 30m) ,,9:15 - 10:45,1hr 30m ,,
CEA,21/5/2018,Morning,G9251,Drama,GCSE,Drama 1 (written exam) (1hr 30m) ,,9:15 - 10:45,1hr ,zbckjxs,
CEA,22/5/2018,Morning,GET23,English Literature,GCSE,English Literature Unit 2 (F) (2hrs),, 9:15 - 11:15,2hrs,zckw2hv,z8c7sg8
CEA,22/5/2018,Morning,GET25,English Literature,GCSE,English Literature Unit 2 (H) (2hrs),, 9:15 - 11:15,2hrs,zckw2hv,z8c7sg8
CEA,23/5/2018,Morning,G9372,Applied Business,GCSE,Applied Business (Written Exam) (1hr),, 9:15 - 10:15,1hr,,
CEA,23/5/2018,Morning,GBS11,Business Studies,GCSE,Business Studies 1 (1hr 20m),,9:15 - 10:35,1hr 20m,zpsvr82,
CEA,23/5/2018,Morning,GBU11,Business Studies,GCSE,Business Studies 1 (1hr 30m) (New),,9:15 - 10:45,1hr 30m,zpsvr82,
CEA,23/5/2018,Morning,GTD11,Technology and Design,GCSE,Technology & Design Unit 1 (1hr),, 9:15 - 11:15,1hr,zvg4d2p,
CEA,23/5/2018,Morning,GTY11,Technology and Design,GCSE,Technology & Design Unit 1 (1hr 30m) (New),,9:15 - 10:45,1hr 30m,zvg4d2p,
CEA,24/5/2018,Morning,GMT11,Mathematics,GCSE,Mathematics Unit 1 (F) (1hr 30m),, 9:15 - 10:45,1hr 30m,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMT21,Mathematics,GCSE,Mathematics Unit 2 (F) (1hr 30m),, 9:15 - 10:45,1hr 30m,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMT31,Mathematics,GCSE,Mathematics Unit 3 (H) (2hrs),, 9:15 - 11:15,2hrs,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMT41,Mathematics,GCSE,Mathematics Unit 4 (H) (2hrs),, 9:15 - 11:15,2hrs,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMC11,Mathematics,GCSE,Mathematics Unit 1 (F) (1hr 45m) (New),, 9:15 - 11:00,1hr 45m,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMC21,Mathematics,GCSE,Mathematics Unit 2 (F) (1hr 45m) (New),, 9:15 - 11:00,1hr 45m,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMC31,Mathematics,GCSE,Mathematics Unit 3 (H) (2hrs) (New),, 9:15 - 11:15,2hrs,z38pycw,zcq8b82
CEA,24/5/2018,Morning,GMC41,Mathematics,GCSE,Mathematics Unit 4 (H) (2hrs) (New),, 9:15 - 11:15,2hrs,z38pycw,zcq8b82
CEA,25/5/2018,Morning,GJR11,Journalism,GCSE, Journalism Unit 1 (1hr 30m),, 9:15 - 10:45,1hr 30m,zqyqh39,zwdrw6f
CEA,21/5/2018,Afternoon,GEE31,Engineering,GCSE,Engineering Unit 3 Paper 1 (1hr),, 1:30 - 2:30,1hr,,
CEA,21/5/2018,Afternoon,GLT11,Leisure and Tourism,GCSE,Leisure & Tourism Unit 1 (1hr 30m),,1:30 - 3:00,1hr 30m,,
CEA,21/5/2018,Afternoon,GLE11,"Leisure, Travel and Tourism",GCSE,"Leisure, Travel & Tourism Unit 1 (1hr 30m) (New)",,1:30 - 3:00,1hr 30m,,
CEA,22/5/2018,Afternoon,GGG11,Geography,GCSE,Geography 1 (F) (1hr 30m),,1:30 - 3:00,1hr 30m,zkw76sg,zyp7jty
CEA,22/5/2018,Afternoon,GGG12,Geography,GCSE,Geography 1 (H) (1hr 30m),,1:30 - 3:00,1hr 30m,zkw76sg,zyp7jty
